longitude,latitude,housing_median_age,median_house_value,rooms_per_household,population_per_household,rooms_per_person,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN,log_total_rooms,log_total_bedrooms,log_population,log_households,log_median_income,log_bedrooms_per_room,log_bedrooms_per_household
-122.42,37.8,52.0,458300.0,3.211798839458414,1.5514657278806583,2.107233502538071,False,False,True,False,8.10832229017324,7.017506142941256,7.3632795869630385,6.942156705699469,1.1309826686985605,0.2894871270935111,0.731567841574136
-118.38,34.14,40.0,483800.0,5.504201680672269,1.865546218487395,2.9504504504504503,False,False,False,False,7.583756300707112,5.872117789475416,6.502790045915623,5.8805329864007,1.9583467783017772,0.16564381295217004,0.6889366480236018
-121.98,38.36,33.0,101700.0,5.334975369458128,2.768472906403941,1.9270462633451957,True,False,False,False,6.988413181999592,5.384495062789089,6.333279628139691,5.318119993844216,1.233434514475555,0.1826292964486375,0.7270487322356266
-117.11,33.75,17.0,96100.0,5.351282051282051,2.3653846153846154,2.2623306233062332,True,False,False,False,8.336869637284956,6.747586526829315,7.520776415062797,6.660575149839686,1.1822791902406804,0.18555064529013043,0.7376546829373765
-118.15,33.77,36.0,361800.0,3.7252559726962455,1.6313993174061434,2.2834728033472804,False,False,False,True,8.381831553485561,7.10002716662926,7.556427969440253,7.067319848653476,1.5105453234577473,0.2448037392796645,0.7096485069617842
-121.31,37.96,52.0,92600.0,5.733542319749216,2.175548589341693,2.6354466858789625,True,False,False,False,7.512071245835466,5.71042701737487,6.543911845564792,5.768320995793772,1.469393930289465,0.1523526103126051,0.6645283752542928
-118.36,33.85,34.0,349300.0,6.8734177215189876,3.221518987341772,2.1335952848722988,False,False,False,False,6.99117688712121,5.288267030694535,6.234410725718371,5.0689042022202315,1.9619662711589043,0.1666998641217557,0.809522756448449
-122.13,37.41,36.0,440900.0,5.378651685393258,2.291011235955056,2.3477194703285926,False,False,True,False,8.473868066677865,6.803505257608338,7.620705086838262,6.792344427470809,1.8572818811862726,0.17227895791429065,0.6987494361086152
-118.44,34.31,22.0,160100.0,4.265415549597855,3.567024128686327,1.1957910559939873,False,False,False,False,8.065579427282092,6.71295620067707,7.8868329989550565,6.616065185132817,1.321008894421261,0.22978393153737905,0.7428306007065923
-118.13,34.06,17.0,183900.0,3.017605633802817,2.7992957746478875,1.0779874213836478,False,False,False,False,7.44716835960004,6.35088571671474,7.372118028337787,6.343880434126331,0.7827593392496325,0.28797374519703084,0.6966621226673898
-121.54,39.08,23.0,57500.0,5.461928934010152,3.6751269035532994,1.4861878453038675,True,False,False,False,6.981934677156389,5.37989735354046,6.586171654854675,5.288267030694535,1.2118814483939768,0.18294094362081745,0.7402438642230442
-118.34,34.04,42.0,134600.0,4.707259953161593,2.8173302107728335,1.6708229426433916,False,False,False,False,7.606387389772652,6.20455776256869,7.093404625868766,6.059123195581797,1.078681653179231,0.2197547311668677,0.7686760230266823
-122.02,37.26,34.0,500001.0,7.910313901345291,3.103139013452915,2.5491329479768785,False,False,False,False,7.475905969367397,5.497168225293202,6.541029999189903,5.4116460518550396,2.200895608625636,0.1290571122296015,0.7370138626655272
-122.28,40.5,21.0,83100.0,5.837378640776699,2.9053398058252426,2.009189640768588,True,False,False,False,7.785720896534624,6.1675164908883415,7.088408778675395,6.023447592961033,1.2943983464153537,0.18058755254466693,0.7679483936426437
-117.19,32.78,34.0,252000.0,6.37888198757764,2.5760869565217392,2.4761904761904763,False,False,False,True,8.32093496888341,6.499787040655854,7.414572881350589,6.4692503167957724,1.6881936384557585,0.14982921216935788,0.7085558059127903
-117.91,33.78,26.0,184000.0,4.44364012409514,3.718717683557394,1.1949388209121246,False,False,False,False,8.365905077202456,6.945051063725834,8.187855443695623,6.875232087276577,1.397481550510455,0.21618432096696447,0.7287019667514611
-121.09,37.61,42.0,171400.0,6.2264808362369335,3.2090592334494774,1.9402823018458197,True,False,False,False,7.488852955733459,5.6937321388027,6.826545223556594,5.662960480135946,1.5864558360421763,0.15327092610154397,0.7087049705908712
